game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,hit_rate,flag_count,flags,floor_10th,floor_safe,expected_total,combined_gpg,buffer,game_time_parsed,game_key,game_date,actual_total,result
Boston Bruins @ Detroit Red Wings,2025-12-02 19:10:00-05:00,3.5,-650,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.80 GPG) | Average pace (28.0 shots/game) | BOS cold | DET neutral | Strong buffer (2.1 goals) | BOS 3 days rest | DET 3 days rest,,,,,,,,,2025-12-03 00:10:00+00:00,2025-12-03_Boston Bruins @ Detroit Red Wings,2025-12-03,,PENDING
Detroit Red Wings @ New Jersey Devils,2025-11-24 19:10:00-05:00,3.5,-750,45.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.93 GPG) | Average pace (29.3 shots/game) | DET cold | NJD cold | Strong buffer (2.4 goals) | DET 2 days rest | NJD 2 days rest,,,,,,,,,2025-11-25 00:10:00+00:00,2025-11-25_Detroit Red Wings @ New Jersey Devils,2025-11-25,,PENDING
Calgary Flames @ St Louis Blues,2025-11-11 20:10:00-05:00,3.5,-725,45.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.92 GPG) | Average pace (29.2 shots/game) | CGY cold | STL cold | Strong buffer (2.3 goals) | CGY 2 days rest | STL 3 days rest,,,,,,,,,2025-11-12 01:10:00+00:00,2025-11-12_Calgary Flames @ St Louis Blues,2025-11-12,,PENDING
New Jersey Devils @ Philadelphia Flyers,2025-11-22 19:10:00-05:00,3.5,-575,45.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.93 GPG) | Average pace (29.3 shots/game) | NJD cold | PHI cold | Strong buffer (2.4 goals) | NJD 2 days rest | PHI 2 days rest,,,,,,,,,2025-11-23 00:10:00+00:00,2025-11-23_New Jersey Devils @ Philadelphia Flyers,2025-11-23,,PENDING
Seattle Kraken @ New York Islanders,2025-11-23 17:10:00-05:00,3.5,-825,44.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.87 GPG) | Average pace (28.7 shots/game) | SEA cold | NYI neutral | Strong buffer (2.2 goals) | SEA 1 day rest | NYI 1 day rest,,,,,,,,,2025-11-23 22:10:00+00:00,2025-11-23_Seattle Kraken @ New York Islanders,2025-11-23,,PENDING
Seattle Kraken @ Detroit Red Wings,2025-11-18 19:00:00-05:00,3.5,-775,43.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.96 GPG) | Average pace (29.6 shots/game) | SEA cold | DET cold | Strong buffer (2.4 goals) | SEA 2 days rest | DET 1 day rest,,,,,,,,,2025-11-19 00:00:00+00:00,2025-11-19_Seattle Kraken @ Detroit Red Wings,2025-11-19,,PENDING
Seattle Kraken @ Pittsburgh Penguins,2025-11-22 19:10:00-05:00,3.5,-700,43.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.99 GPG) | Average pace (29.9 shots/game) | SEA cold | PIT cold | Strong buffer (2.5 goals) | SEA 2 days rest | PIT 1 day rest,,,,,,,,,2025-11-23 00:10:00+00:00,2025-11-23_Seattle Kraken @ Pittsburgh Penguins,2025-11-23,,PENDING
Vancouver Canucks @ Anaheim Ducks,2025-11-26 22:10:00-05:00,3.5,-1400,37.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | VAN warm | ANA warm | Strong buffer (2.1 goals) | VAN 3 days rest | ANA 4 days rest,,,,,,,,,2025-11-27 03:10:00+00:00,2025-11-27_Vancouver Canucks @ Anaheim Ducks,2025-11-27,,PENDING
Boston Bruins @ Anaheim Ducks,2025-11-19 22:00:00-05:00,3.5,-1050,36.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.70 GPG) | Slow pace (27.0 shots/game) | BOS warm | ANA hot | Good buffer (1.9 goals) | BOS 2 days rest | ANA 2 days rest,,,,,,,,,2025-11-20 03:00:00+00:00,2025-11-20_Boston Bruins @ Anaheim Ducks,2025-11-20,,PENDING
Anaheim Ducks @ Detroit Red Wings,2025-11-13 19:10:00-05:00,3.5,-1150,35.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.80 GPG) | Slow pace (28.0 shots/game) | ANA hot | DET cold | Strong buffer (2.1 goals) | ANA 2 days rest | DET 4 days rest,,,,,,,,,2025-11-14 00:10:00+00:00,2025-11-14_Anaheim Ducks @ Detroit Red Wings,2025-11-14,,PENDING
